Section 1 MH_78_0_V2																																																																																																												
	1.10E-01	-5.67E-02	b			1.04E-01	-6.90E-02	b			6.14E-02	-5.82E-02	b		4.62E-02	-4.77E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	2.86E-01	1.40E-01	a			2.84E-01	1.44E-01	a			2.12E-01	1.76E-01	a		2.60E-01	2.86E-01	a																																																																																											
	1.09E-01	-6.22E-02	b			1.04E-01	-7.57E-02	b			6.46E-02	-6.24E-02	b		4.78E-02	-4.88E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	3.31E-01	1.79E-01	a			3.30E-01	1.82E-01	a			2.53E-01	2.16E-01	a		2.98E-01	3.25E-01	a																																																																																											
	1.07E-01	-6.60E-02	b			1.03E-01	-8.02E-02	b			6.70E-02	-6.55E-02	b		4.89E-02	-4.94E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	3.80E-01	2.21E-01	a			3.78E-01	2.25E-01	a			2.96E-01	2.56E-01	a		3.37E-01	3.63E-01	a																																																																																											
	1.04E-01	-6.84E-02	b			1.01E-01	-8.32E-02	b			6.87E-02	-6.78E-02	b		4.96E-02	-4.97E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	4.30E-01	2.67E-01	a			4.29E-01	2.70E-01	a			3.39E-01	2.96E-01	a		3.77E-01	4.02E-01	a																																																																																											
	9.84E-02	-7.03E-02	b			9.74E-02	-8.51E-02	b			6.97E-02	-6.93E-02	b		5.00E-02	-4.95E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	4.82E-01	3.15E-01	a			4.81E-01	3.18E-01	a			3.84E-01	3.36E-01	a		4.16E-01	4.40E-01	a																																																																																											
	9.18E-02	-7.16E-02	b			9.23E-02	-8.60E-02	b			7.02E-02	-7.00E-02	b		5.00E-02	-4.88E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	5.36E-01	3.66E-01	a			5.34E-01	3.68E-01	a			4.30E-01	3.77E-01	a		4.55E-01	4.77E-01	a																																																																																											
	8.39E-02	-7.23E-02	b			8.59E-02	-8.60E-02	b			7.00E-02	-6.98E-02	b		4.98E-02	-4.75E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	5.90E-01	4.18E-01	a			5.88E-01	4.20E-01	a			4.75E-01	4.19E-01	a		4.93E-01	5.14E-01	a																																																																																											
	7.48E-02	-7.24E-02	b			7.81E-02	-8.50E-02	b			6.92E-02	-6.90E-02	b		4.91E-02	-4.58E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	6.43E-01	4.70E-01	a			6.41E-01	4.72E-01	a			5.19E-01	4.61E-01	a		5.32E-01	5.51E-01	a																																																																																											
	6.46E-02	-7.17E-02	b			6.90E-02	-8.30E-02	b			6.76E-02	-6.71E-02	b		4.81E-02	-4.31E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	6.95E-01	5.23E-01	a			6.94E-01	5.25E-01	a			5.61E-01	5.04E-01	a		5.70E-01	5.88E-01	a																																																																																											
	5.38E-02	-7.00E-02	b			5.88E-02	-7.98E-02	b			6.55E-02	-6.39E-02	b		4.68E-02	-3.92E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	7.46E-01	5.76E-01	a			7.45E-01	5.77E-01	a			6.02E-01	5.46E-01	a		6.09E-01	6.24E-01	a																																																																																											
	4.29E-02	-6.71E-02	b			4.80E-02	-7.53E-02	b			6.26E-02	-5.92E-02	b		4.50E-02	-3.46E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	7.94E-01	6.28E-01	a			7.93E-01	6.29E-01	a			6.44E-01	5.89E-01	a		6.47E-01	6.60E-01	a																																																																																											
	3.28E-02	-6.28E-02	b			3.73E-02	-6.95E-02	b			5.89E-02	-5.29E-02	b		4.27E-02	-2.94E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	8.39E-01	6.78E-01	a			8.38E-01	6.79E-01	a			6.87E-01	6.32E-01	a		6.86E-01	6.99E-01	a																																																																																											
	2.38E-02	-5.72E-02	b			2.73E-02	-6.24E-02	b			5.43E-02	-4.52E-02	b		4.00E-02	-2.31E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	8.79E-01	7.26E-01	a			8.78E-01	7.27E-01	a			7.31E-01	6.75E-01	a		7.24E-01	7.40E-01	a																																																																																											
	1.62E-02	-5.04E-02	b			1.85E-02	-5.41E-02	b			4.89E-02	-3.62E-02	b		3.68E-02	-1.66E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	9.15E-01	7.71E-01	a			9.14E-01	7.72E-01	a			7.76E-01	7.21E-01	a		7.63E-01	7.79E-01	a																																																																																											
	1.01E-02	-4.26E-02	b			1.13E-02	-4.52E-02	b			4.28E-02	-2.62E-02	b		3.33E-02	-1.03E-02	b																																																																																											
